Algorithm,NumShards,CV%,StdDev,Mean,MinPercent,MaxPercent,Delta,DeltaPercent,TotalKeys
MURMUR3,3,1.9311,6437.03,333333.33,32.7045,34.2178,15133,1.5133,1000000
MURMUR3,4,4.4322,11080.49,250000.00,23.4113,26.5437,31324,3.1324,1000000
MURMUR3,5,4.2467,8493.46,200000.00,18.5105,20.8741,23636,2.3636,1000000
MURMUR3,6,3.7904,6317.39,166666.67,15.8764,17.7320,18556,1.8556,1000000
MURMUR3,7,2.4324,3474.81,142857.14,13.8054,14.8200,10146,1.0146,1000000
MURMUR3,8,2.8453,3556.62,125000.00,11.8776,13.1006,12230,1.2230,1000000
MURMUR3,9,2.8222,3135.77,111111.11,10.5368,11.5720,10352,1.0352,1000000
MURMUR3,10,2.3645,2364.47,100000.00,9.7839,10.6066,8227,0.8227,1000000
MURMUR3,11,3.8162,3469.25,90909.09,8.6661,9.9029,12368,1.2368,1000000
MURMUR3,12,3.4463,2871.94,83333.33,8.0725,9.1370,10645,1.0645,1000000
MURMUR3,13,3.5947,2765.14,76923.08,7.3370,8.4834,11464,1.1464,1000000
MURMUR3,14,5.4205,3871.82,71428.57,6.5143,8.1368,16225,1.6225,1000000
MURMUR3,15,5.4278,3618.51,66666.67,6.1321,7.5919,14598,1.4598,1000000
MURMUR3,16,6.4845,4052.83,62500.00,5.6589,6.9510,12921,1.2921,1000000
MURMUR3,17,6.1806,3635.65,58823.53,5.3165,6.5744,12579,1.2579,1000000
MURMUR3,18,6.9524,3862.43,55555.56,4.9192,6.2900,13708,1.3708,1000000
MURMUR3,19,6.2048,3265.70,52631.58,4.7344,5.9131,11787,1.1787,1000000
MURMUR3,20,6.3790,3189.48,50000.00,4.4454,5.6866,12412,1.2412,1000000
MURMUR3,21,5.6246,2678.37,47619.05,4.2505,5.2990,10485,1.0485,1000000
MURMUR3,22,5.9817,2718.97,45454.55,4.0113,5.0077,9964,0.9964,1000000
MURMUR3,23,5.6197,2443.34,43478.26,3.8075,4.7076,9001,0.9001,1000000
MURMUR3,24,5.3144,2214.34,41666.67,3.6205,4.5123,8918,0.8918,1000000
MURMUR3,25,5.5349,2213.95,40000.00,3.4144,4.3080,8936,0.8936,1000000
MURMUR3,26,5.6819,2185.34,38461.54,3.2261,4.1711,9450,0.9450,1000000
MURMUR3,27,5.4607,2022.49,37037.04,3.0993,4.0977,9984,0.9984,1000000
MURMUR3,28,5.3956,1926.99,35714.29,3.0379,4.0098,9719,0.9719,1000000
MURMUR3,29,5.5558,1915.78,34482.76,2.9628,3.7767,8139,0.8139,1000000
MURMUR3,30,5.7107,1903.57,33333.33,2.8720,3.7125,8405,0.8405,1000000
MURMUR3,31,6.1077,1970.23,32258.06,2.8409,3.6433,8024,0.8024,1000000
MURMUR3,32,5.8923,1841.36,31250.00,2.7811,3.5358,7547,0.7547,1000000
MURMUR3,33,5.8091,1760.34,30303.03,2.6988,3.4741,7753,0.7753,1000000
MURMUR3,34,6.1729,1815.57,29411.76,2.5888,3.4339,8451,0.8451,1000000
MURMUR3,35,6.3565,1816.15,28571.43,2.5779,3.4157,8378,0.8378,1000000
MURMUR3,36,6.7982,1888.39,27777.78,2.5220,3.3425,8205,0.8205,1000000
MURMUR3,37,6.5032,1757.63,27027.03,2.3875,3.2371,8496,0.8496,1000000
MURMUR3,38,6.3044,1659.05,26315.79,2.3423,3.0932,7509,0.7509,1000000
MURMUR3,39,6.3266,1622.22,25641.03,2.2654,2.9771,7117,0.7117,1000000
